role,description,required_skills
Forensic Science Technicians,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.","Active Listening, Adobe Photoshop, Automated Biometric Identification System ABIS, Combined DNA Index System CODIS, Complex Problem Solving, Computer aided design and drafting CADD software, Corel WordPerfect Office Suite, Critical Thinking, DM2 Bills of Lading, DataWorks Plus Digital CrimeScene, DesignWare 3D EyeWitness, Eos Systems PhotoModeler, Graphics software, Guidance Software EnCase Enterprise, IBM Notes, Image enhancement software, Integrated Automated Fingerprint Identification System IAFIS, Laboratory information management system LIMS, Linux, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Visio, Microsoft Word, Mideo Systems EZDoc Plus, Midwest Information Systems PAX-it, Reading Comprehension, Speaking, Writing"
"Life, Physical, and Social Science Technicians, All Other","All life, physical, and social science technicians not listed separately.",
Quality Control Analysts,"Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests.","Adobe Acrobat, Atlassian JIRA, Borland SilkTest, C, Code profilers, Extensible markup language XML, Hypertext markup language HTML, JavaScript, Microsoft ASP.NET, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft SharePoint, Microsoft Visio, Microsoft Visual Basic, Microsoft Windows, Microsoft Word, Monitoring, Quality Control Analysis, Reading Comprehension, SAP software, Selenium, Structured query language SQL, The MathWorks MATLAB"
Remote Sensing Technicians,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.","AJAX, Adobe Creative Cloud software, Adobe Photoshop, Amazon Elastic Compute Cloud EC2, Amazon Web Services AWS software, Ansible software, Atlassian Confluence, Atlassian JIRA, Autodesk AutoCAD, Bentley MicroStation, C, C#, C++, Cascading style sheets CSS, Critical Thinking, ESRI ArcGIS software, Git, GitHub, Google Analytics, Hypertext markup language HTML, JavaScript, Linux, Mathematics, Microsoft .NET Framework, Microsoft Access, Microsoft Azure software, Reading Comprehension, Speaking, jQuery"
Occupational Health and Safety Specialists,"Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector.","Active Listening, Complex Problem Solving, Critical Thinking, Curtis Management Resources Training Management System, Database software, ESS Compliance Suite, EcoLogic ADAM Indoor Air Quality and Analytical Data Management, ImageWave MSDSFinder, Judgment and Decision Making, Mannus Compliance: EHS, Medgate Enterprise EHS, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Windows, Microsoft Word, Monitoring, Primatech AUDITWorks, Quality Systems Incorporated Safety Tagging System, RAE Systems HazRAE, Reading Comprehension, SAP software, Safety Software OSHALOG 300, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, Web browser software, Writing"
Occupational Health and Safety Technicians,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.","Active Listening, Brady Lockout Pro, Critical Thinking, Database software, Email software, Graphics software, Industrial Scientific iNET, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word, QuestSuite Professional, Reading Comprehension, Remedy Interactive iMitigate, SAP software, Speaking, Statistical analysis software, TapRooT, Teleconferencing software, Web browser software, Writing"
Substance Abuse and Behavioral Disorder Counselors,"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs.","ACMS Casewatch Millenium, Active Learning, Active Listening, Addison Health Systems WritePad EHR, Allscripts Canopy, Anasazi Software Assessment and Treatment Plan Systems, Athena Software Penelope Case Management, Cadence Solutions extendedReach, Case management software, CaseManagement.com E-Reports, Client System, Complex Problem Solving, Coordination, Critical Thinking, Database software, Economic Analysis Group EAG CaseTrack, Email software, IBM Lotus Notes, IMA Technologies CaseTrakker, Judgment and Decision Making, Libera System7, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Online informational database software, Persuasion, Practice Technology Prevail, Reading Comprehension, Scheduling software, Service Orientation, Social Perceptiveness, Speaking, Statistical software, Writing, danic Technology"
"Educational, Guidance, and Career Counselors and Advisors",Advise and assist students and provide educational and vocational guidance services.,"ACT Discover, ACT WorkKeys, Active Learning, Active Listening, Adobe ActionScript, Adobe Photoshop, Athena Software Penelope Case Management, Blackbaud The Raiser's Edge, Blackboard Wimba, Blackboard software, Bloomz, Career Cruising, Career Dimensions Focus 2, Career decision-making programs, Career management systems CMS, Complex Problem Solving, Coordination, Critical Thinking, Facebook, Google Docs, Instructing, Judgment and Decision Making, Learning Strategies, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server Reporting Services SSRS, Microsoft SharePoint, Microsoft Word, Monitoring, Oracle PeopleSoft, Persuasion, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Writing"
Marriage and Family Therapists,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders.","Active Learning, Active Listening, Advantage Software Psych Advantage, American Medical Billing Software PMA, Anasazi Software Client Data System, Beaver Creek Software The THERAPIST, Blueberry Harbor Software Clinical Record Keeper, Care Paths eRecord, Casamba Smart, Complex Problem Solving, Coordination, Cornucopia Software Practice MAGIC, Critical Thinking, DocuTrac QuicDoc, EZ2Bill Confidant, EZClaim medical billing software, Google Meet, Hypertext preprocessor PHP, Instructing, Intuit QuickBooks, Judgment and Decision Making, Mdansby The PsychReport, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Teams, Microsoft Word, Monitoring, Negotiation, Netsmart Technologies Helper, Persuasion, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Writing, Zoom, eMDs Medisoft"
Mental Health Counselors,"Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on prevention. May help individuals deal with a broad range of mental health issues, such as those associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; or aging.","Active Learning, Active Listening, Client information database systems, Complex Problem Solving, Critical Thinking, Database software, Email software, Google Classroom, Judgment and Decision Making, Management information systems MIS, Microsoft Access, Microsoft Dynamics, Microsoft Excel, Microsoft Internet Explorer, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Netscape Navigator, Oracle PeopleSoft, Patient electronic medical record EMR software, Persuasion, Reading Comprehension, Scheduling software, Service Orientation, Social Perceptiveness, Speaking, Statistical software, Test interpretation software, Web browser software, Writing"
Rehabilitation Counselors,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.","Active Listening, Adobe Acrobat Reader, Budgeting software, Chart Links, Client information database software, Coordination, Critical Thinking, Data input software, Electronic medical record EMR software, Email software, Encryption software, Fanatic Software Informant, Global positioning system GPS software, Microsoft ActiveSync, Microsoft Excel, Microsoft Internet Explorer, Microsoft Mobile Explorer MME, Microsoft Office Mobile, Microsoft Office Outlook, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Netscape Navigator, Reading Comprehension, Scheduling software, Service Orientation, SkillTRAN Job Browser Pro, SkillTRAN OASYS, Social Perceptiveness, Speaking, Test interpretation software, Writing"
